Domain	Supergroup	Division	Class	Order	Family	Genus	Last	Size.min	Size.max	Cover	Shape	Spicule	Symmetry	Polarity	Colony	Motility	Plast	Ingestion.mode	Biotic.interaction	Resting.stage	Suspected.trophism	Source.1	Source.2	Source.3	Source.4	IN.OUT
Eukaryota	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	Colpodellida_CHR1	Colpodellida_CHR1_X	Colpodellida_CHR1	NA	NA	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	No plast	Myzocytotic	No	Resting stage	Heterotroph	"Simpson A. G. B. , Patterson D. J. : Ultrastructure and identification of the predatory flagellate Colpodella pugnax Cienkowski (Apicomplexa) with a description of Colpodella turpis n. sp. and a review of the genus, Systematic Parasitology, 1996, 33(3), 187-198, doi: 10.1007/bf01531200"	NA	NA	NA	Yes
Eukaryota	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	NA	NA	Colpodellida	NA	NA	Naked	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	No plast	Myzocytotic	No	Resting stage	Heterotroph	"Simpson A. G. B. , Patterson D. J. : Ultrastructure and identification of the predatory flagellate Colpodella pugnax Cienkowski (Apicomplexa) with a description of Colpodella turpis n. sp. and a review of the genus, Systematic Parasitology, 1996, 33(3), 187-198, doi: 10.1007/bf01531200"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides	58	100	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Bourland W., Rotterová J., Čepička I. : Morphologic and molecular characterization of seven species of the remarkably diverse and widely distributed metopid genus Urostomides Jankowski, 1964 (Armophorea, Ciliophora), European Journal of Protistology, 2017, 61, 194-232, doi: 10.1016/j.ejop.2017.07.003"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea	NA	NA	Naked	NA	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	NA	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Atopospira	Atopospira	37	133	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Bourland W., Wendell L. : Redescription of Atopospira galeata (Kahl, 1927) nov. comb. and A. violacea (Kahl, 1926) nov. comb. with redefinition of Atopospira Jankowski, 1964 nov. stat. and Brachonella Jankowski, 1964 (Ciliophora, Armophorida), European Journal of Protistology, 2014, 50(4), 356-372, doi: 10.1016/j.ejop.2014.05.004"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Heterometopus	Heterometopus	70	150	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Foissner W. : Heterometopus meisterfeldi nov. gen., nov. spec. (Protozoa, Ciliophora), a new metopid from Australia, European Journal of Protistology, 2016, 55, 118-127, doi: 10.1016/j.ejop.2015.11.005"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Metopus_2	Metopus_2	100	195	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Finlay B., Fenchel T. : Polymorphic bacterial symbionts in the anaerobic ciliated protozoon Metopus, FEMS Microbiology Letters, 1991, 79(2-3), 187-190, doi: 10.1111/j.1574-6968.1991.tb04526.x"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	"Bourland W., Wendell L., Hampikian G. : Morphologic and molecular description of Metopus fuscus Kahl from North America and new rDNA sequences from seven metopids (Armophorea, Metopidae), European Journal of Protistology, 2014, 50(3), 213-230, doi: 10.1016/j.ejop.2014.01.002"	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Palmarella	Palmarella	100	160	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Caenomorphidae	Caenomorpha	Caenomorpha	100	150	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Caenomorphidae	Caenomorphidae_X	Caenomorphidae	100	150	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Metopidae	Metopus_1	Metopus_1	100	160	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Finlay B., Fenchel T. : Polymorphic bacterial symbionts in the anaerobic ciliated protozoon Metopus, FEMS Microbiology Letters, 1991, 79(2-3), 187-190, doi: 10.1111/j.1574-6968.1991.tb04526.x"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Metopidae	Brachonella	Brachonella	80	150	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Bourland W, Rotterová J, Čepička I : Morphologic and molecular characterization of Brachonella pulchra (Kahl, 1927) comb. nov. (Armophorea, Ciliophora) with comments on cyst structure and formation, International Journal of Systematic and Evolutionary Microbiology, 2018, 68, 3052–3065, doi: 10.1099/ijsem.0.002888"	https://www.nies.go.jp/chiiki1/protoz/morpho/ciliopho/brachone.htm	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Armophorea	Armophorea_X	Metopidae	NA	Metopidae	100	160	Naked	NA	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Finlay B., Fenchel T. : Polymorphic bacterial symbionts in the anaerobic ciliated protozoon Metopus, FEMS Microbiology Letters, 1991, 79(2-3), 187-190, doi: 10.1111/j.1574-6968.1991.tb04526.x"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Ciliophora_X	Ciliophora_XX	Ciliophora_XXX	Mesodinium	Mesodinium	12	60	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	Plast	Phagotrophic	No	No resting stage	Mixotroph	"Tamar H. : Four marine species of Mesodinium (Ciliophora: Mesodiniidae) II. Mesodinium pulex Clap. & Lachm., 1858, Arch. fЋr Protistenkd., 1992, 141(4), 284-303, doi: 10.1016/S0003-9365(11)80058-8"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Colpodida	Bresslaua	Bresslaua	120	193	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Çapar S. : Morphology and morphometry of Bresslauides pratensis n. sp., a new soil ciliate (Ciliophora, Colpodea) from Turkey, European Journal of Protistology, 2012, 48(3), 252-260, doi: 10.1016/j.ejop.2012.01.006"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Colpodida	Colpoda	Colpoda	12	95	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Colpodida	Colpodida_X	Colpodida	12	95	Naked	NA	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Colpodida	Hausmanniella	Hausmanniella	NA	NA	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	NA	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Colpodida	Mykophagophrys	Mykophagophrys	10	20	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	NA	Heterotroph	"Foissner W. : Tropical Protozoan Diversity: 80 Ciliate Species (Protozoa, Ciliophora) in a Soil Sample from a Tropical Dry Forest of Costa Rica, with Descriptions of four New Genera and seven New Species, Archiv für Protistenkunde, 1995, 145(1-2), 37-79, doi: 10.1016/s0003-9365(11)80300-3"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Colpodida	Pseudoplatyophrya	Pseudoplatyophrya	30	40	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Foissner W. : Tropical Protozoan Diversity: 80 Ciliate Species (Protozoa, Ciliophora) in a Soil Sample from a Tropical Dry Forest of Costa Rica, with Descriptions of four New Genera and seven New Species, Archiv für Protistenkunde, 1995, 145(1-2), 37-79, doi: 10.1016/s0003-9365(11)80300-3"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Apocyrtolophosis	Apocyrtolophosis	15	25	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Foissner W., Bourland W., Wolf K., Stoeck T., Dunthorn M. : New SSU-rDNA sequences for eleven colpodeans (Ciliophora, Colpodea) and description of Apocyrtolophosis nov. gen, European Journal of Protistology, 2014, 50(1), 40-46, doi: 10.1016/j.ejop.2013.09.003"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Cyrtolophosidida_X	Cyrtolophosidida	9	30	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Dunthorn M., Klier J., Bunge J., Stoeck T. : Comparing the Hyper-Variable V4 and V9 Regions of the Small Subunit rDNA for Assessment of Ciliate Environmental Diversity, Journal of Eukaryotic Microbiology, 2012, 59(2), 185-187, doi: 10.1111/j.1550-7408.2011.00602.x"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Cyrtolophosis	Cyrtolophosis	20	28	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	https://www.nies.go.jp/chiiki1/protoz/morpho/ciliopho/cyrtolop.htm	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Platyophryida	Platyophryida_X	Platyophryida	40	100	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	Resting stage	Heterotroph	"Bourland W., Hampikian G., Vďačný P. : Morphology and phylogeny of a new woodruffiid ciliate, Etoschophrya inornata sp. n. (Ciliophora, Colpodea, Platyophryida), with an account on evolution of platyophryids, Zoologica Scripta, 2012, 41(4), 400-416, doi: 10.1111/j.1463-6409.2012.00539.x"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	CONTH_2	CONTH_2_X	CONTH_2_XX	CONTH_2_XXX	CONTH_2	NA	NA	Naked	NA	No spicule	Asymetrical	NA	NA	NA	No plast	Phagotrophic	NA	NA	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	CONThreeP	CONThreeP_X	CONThreeP_XX	Askenasia	Askenasia	27	60	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	No resting stage	Heterotroph	"Krainer K. H. and Foissner W. : Revision of the genus Askenasia Blochmann, 1895, with proposal of two new species, and description of Rhabdoaskenasia minima n. g., n. sp. (Ciliophora, Cyclotrichida), J. Protozool., 1990, 37(5), 414-427"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	CONThreeP	CONThreeP_X	CONThreeP_XX	CONThreeP_XXX	CONThreeP	NA	NA	Naked	NA	No spicule	Asymetrical	NA	NA	NA	No plast	Phagotrophic	NA	NA	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	CONThreeP	CONThreeP_X	Urotrichidae	Urotricha	Urotricha	20	40	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	NA	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Cyclotrichium_like_organism	Cyclotrichium_like_organism_X	Cyclotrichium_like_organism_XX	Cyclotrichium	Cyclotrichium	22	160	Naked	Round	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	No resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Heterotrichea	Heterotrichea_X	Spirostomidae	Spirostomum	Spirostomum	700	1000	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	NA	Heterotroph	"Shazib S., Vďačný P., Kim J., Jang S., Shin M. : Molecular phylogeny and species delimitation within the ciliate genus Spirostomum (Ciliophora, Postciliodesmatophora, Heterotrichea), using the internal transcribed spacer region, Molecular Phylogenetics and Evolution, 2016, 102, 128-144, doi: 10.1016/j.ympev.2016.05.041"	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	"Fokin S., Schweikert M., Brümmer F., Görtz H. : Spirostomum spp. (Ciliophora, Protista), a suitable system for endocytobiosis research, Protoplasma, 2005, 225(1-2), 93-102, doi: 10.1007/s00709-004-0078-y"	NA	Yes
Eukaryota	Alveolata	Ciliophora	Heterotrichea	Heterotrichea_X	Stentoridae	Stentor	Stentor	134	1000	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Attached	No plast	Phagotrophic	No	No resting stage	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	https://www.nies.go.jp/chiiki1/protoz/morpho/ciliopho/stentor.htm	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Karyorelictea	Karyorelictea_X	Loxodidae	Loxodes	Loxodes	123	192	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	No	No resting stage	Heterotroph	"Xu Y., Pan H., Miao M., Hu X., Al-Farraj S., Al-Rasheid K., Song W. : Morphology and Phylogeny of Two Species ofLoxodes(Ciliophora, Karyorelictea), with Description of a New Subspecies,Loxodes striatus orientalissubsp. n., Journal of Eukaryotic Microbiology, 2014, 62(2), 206-216, doi: 10.1111/jeu.12162"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Litostomatea	Haptoria_2	Haptoria_2_X	Haptoria_2_XX	Haptoria_2	NA	NA	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	NA	NA	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
Eukaryota	Alveolata	Ciliophora	Litostomatea	Haptoria_3	Haptoria_3_X	Haptoria_3_XX	Haptoria_3	NA	NA	Naked	Elongated	No spicule	Asymetrical	Heteropolar	No colony	Swimmer	No plast	Phagotrophic	NA	NA	Heterotroph	"Lynn D. : The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008"	NA	NA	NA	Yes
