Domain,Superphylum,Phylum,Class,Order,Family,Genus,Last,Size.min,Size.max,Cover,Shape,Spicule,Symmetry,Polarity,Colony,Motility,Chloroplast,Plast.origin,Ingestion.mode,Symbiontic,X,Resting.stage,Validation,Validation.I.O,Suspected.trophism,Source.1,Source.2,Source.3,Source.4,IN.OUT
Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Alphamonaceae,Aphamonas,Aphamonas,5,20,Naked,Elongated,0,Bilateral,Heteropolar,None,Swimmer,0,None,Myzocytotic,No,NA,1,1,OK,Heterotroph,http://dx.doi.org/10.1111/j.1550-7408.2003.tb00145.x,,,,Yes
Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellaceae,Colpodella,Colpodella,5,22,Naked,Elongated,0,Bilateral,Heteropolar,None,Swimmer,0,None,Myzocytotic,No,NA,1,1,OK,Heterotroph,"Simpson, A. G. B. and Patterson, D. J.: Ultrastructure and identification of the predatory flagellate Colpodella pugnax Cienkowski (Apicomplexa) with a description of Colpodella turpis n. sp. and a review of the genus, Syst. Parasitol., 33(3), 187_198, doi:10.1007/BF01531200, 1996.",,,,Yes
Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellaceae,NA,Colpodellaceae,5,22,Naked,Elongated,0,Bilateral,Heteropolar,None,Swimmer,0,None,Myzocytotic,No,NA,1,1,OK,Heterotroph,http://dx.doi.org/10.1111/j.1550-7408.2003.tb00145.x,,,,Yes
Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellida_CHR1,Colpodellida_CHR1_X,Colpodellida_CHR1,NA,NA,Naked,Elongated,0,Bilateral,Heteropolar,None,Swimmer,0,None,Myzocytotic,No,NA,1,1,OK,Heterotroph,"Simpson, A. G. B. and Patterson, D. J.: Ultrastructure and identification of the predatory flagellate Colpodella pugnax Cienkowski (Apicomplexa) with a description of Colpodella turpis n. sp. and a review of the genus, Syst. Parasitol., 33(3), 187_198, doi:10.1007/BF01531200, 1996.",,,,Yes
Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,NA,NA,Colpodellida,NA,NA,Naked,Elongated,0,Bilateral,Heteropolar,None,Swimmer,0,None,Myzocytotic,No,NA,1,1,OK,Heterotroph,"Simpson, A. G. B. and Patterson, D. J.: Ultrastructure and identification of the predatory flagellate Colpodella pugnax Cienkowski (Apicomplexa) with a description of Colpodella turpis n. sp. and a review of the genus, Syst. Parasitol., 33(3), 187_198, doi:10.1007/BF01531200, 1996.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Apometopidae,Urostomides,Urostomides,58,100,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,https://doi.org/10.1016/j.ejop.2017.07.003,,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Armophorea_XX,Armophorea_XXX,Armophorea,NA,NA,Naked,NA,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Armophorea_XX,Atopospira,Atopospira,37,133,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,https://doi.org/10.1016/j.ejop.2014.05.004,,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Armophorea_XX,Heterometopus,Heterometopus,70,150,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,https://doi.org/10.1016/j.ejop.2015.11.005,,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Armophorea_XX,Metopus_2,Metopus_2,100,195,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Finlay, B. J. and Fenchel, T.: Polymorphic Bacterial Symbionts in the Anaerobic Ciliated Protozoan Metopus, Fems Microbiol. Lett., 79(2_3), 187_190, doi:Doi 10.1111/J.1574-6968.1991.Tb04526.X, 1991.","Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",https://doi.org/10.1016/j.ejop.2014.01.002,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Armophorea_XX,NA,Armophorea,NA,NA,Naked,NA,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Armophorea_XX,Palmarella,Palmarella,100,160,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Caenomorphidae,Caenomorpha,Caenomorpha,100,150,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Caenomorphidae,Caenomorphidae_X,Caenomorphidae,100,150,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Metopidae,Metopus_1,Metopus_1,100,160,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Finlay, B. J. and Fenchel, T.: Polymorphic Bacterial Symbionts in the Anaerobic Ciliated Protozoan Metopus, Fems Microbiol. Lett., 79(2_3), 187_190, doi:Doi 10.1111/J.1574-6968.1991.Tb04526.X, 1991.","Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Metopidae,NA,Metopidae,100,160,Naked,NA,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Finlay, B. J. and Fenchel, T.: Polymorphic Bacterial Symbionts in the Anaerobic Ciliated Protozoan Metopus, Fems Microbiol. Lett., 79(2_3), 187_190, doi:Doi 10.1111/J.1574-6968.1991.Tb04526.X, 1991.","Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,Yes
Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,NA,NA,Armophorea,NA,NA,Naked,NA,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Ciliophora_X,Ciliophora_XX,Ciliophora_XXX,Mesodinium,Mesodinium,12,60,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,1,Kleptoplastidic,Phagotrophic,No,NA,0,1,OK,Mixotroph,"Tamar, H.: Four marine species of Mesodinium (Ciliophora: Mesodiniidae) II. Mesodinium pulex Clap. & Lachm., 1858, Arch. fЋr Protistenkd., 141(4), 284_303, doi:10.1016/S0003-9365(11)80058-8, 1992.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Bresslaua,Bresslaua,120,193,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,https://doi.org/10.1016/j.ejop.2012.01.006,,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpoda,Colpoda,12,95,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpodida_X,Colpodida,12,95,Naked,NA,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Hausmanniella,Hausmanniella,NA,NA,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Mykophagophrys,Mykophagophrys,10,20,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,https://doi.org/10.1016/S0003-9365(11)80300-3,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,NA,Colpodida,12,95,Naked,NA,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Pseudoplatyophrya,Pseudoplatyophrya,30,40,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,https://doi.org/10.1016/S0003-9365(11)80300-3,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,Apocyrtolophosis,Apocyrtolophosis,15,25,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,https://doi.org/10.1016/j.ejop.2013.09.003,,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,Cyrtolophosidida_X,Cyrtolophosidida,9,30,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Dunthorn, M., Klier, J., Bunge, J. and Stoeck, T.: Comparing the hyper-variable V4 and V9 regions of the small subunit rDNA for assessment of ciliate environmental diversity, J. Eukaryot. Microbiol., 59(2), 185_187, doi:10.1111/j.1550-7408.2011.00602.x, 2012.","Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Cyrtolophosidida,Cyrtolophosis,Cyrtolophosis,20,28,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",https://www.nies.go.jp/chiiki1/protoz/morpho/ciliopho/cyrtolop.htm,,,Yes
Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Platyophryida,Platyophryida_X,Platyophryida,40,100,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Bourland, W. A., Hampikian, G. and V_a_n_, P.: Morphology and phylogeny of a new woodruffiid ciliate, Etoschophrya inornata sp. n. (Ciliophora, Colpodea, Platyophryida), with an account on evolution of platyophryids, Zool. Scr., 41(4), 400_416, doi:10.1111/j.1463-6409.2012.00539.x, 2012.","Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,Yes
Eukaryota,Alveolata,Ciliophora,CONTH_2,CONTH_2_X,CONTH_2_XX,CONTH_2_XXX,CONTH_2,NA,NA,Naked,NA,0,Asymetrical,NA,NA,NA,0,None,Phagotrophic,NA,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,CONThreeP_XX,Askenasia,Askenasia,27,60,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,0,1,OK,Heterotroph,"Krainer, K.-H. and Foissner, W.: Revision of the genus Askenasia Blochmann, 1895, with proposal of two new species, and description of Rhabdoaskenasia minima[/i] n. g., n. sp. (Ciliophora, Cyclotrichida), J. Protozool., 37(5), 414_427, 1990.",,,,Yes
Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,CONThreeP_XX,CONThreeP_XXX,CONThreeP,NA,NA,Naked,NA,0,Asymetrical,NA,NA,NA,0,None,Phagotrophic,NA,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,Urotrichidae,Urotricha,Urotricha,20,40,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Cyclotrichium_like_organism,Cyclotrichium_like_organism_X,Cyclotrichium_like_organism_XX,Cyclotrichium,Cyclotrichium,22,160,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,0,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Heterotrichea,Heterotrichea_X,Spirostomidae,Spirostomum,Spirostomum,700,1000,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,https://doi.org/10.1016/j.ympev.2016.05.041,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",https://doi.org/10.1007/s00709-004-0078-y,,Yes
Eukaryota,Alveolata,Ciliophora,Heterotrichea,Heterotrichea_X,Stentoridae,Stentor,Stentor,134,1000,Naked,Elongated,0,Asymetrical,Heteropolar,None,Attached,0,None,Phagotrophic,No,NA,0,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",https://www.nies.go.jp/chiiki1/protoz/morpho/ciliopho/stentor.htm,,,Yes
Eukaryota,Alveolata,Ciliophora,Karyorelictea,Karyorelictea_X,Loxodidae,Loxodes,Loxodes,123,192,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,0,1,OK,Heterotroph,https://doi.org/10.1111/jeu.12162,,,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Haptoria_2,Haptoria_2_X,Haptoria_2_XX,Haptoria_2,NA,NA,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,NA,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Haptoria_3,Haptoria_3_X,Haptoria_3_XX,Haptoria_3,NA,NA,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,NA,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Haptoria_4,Didiniidae,Didiniidae_X,Didiniidae,20,200,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Haptoria_5,Pleurostomatida,Pleurostomatida_X,Pleurostomatida,100,400,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.","Pan, H., Li, L., Wu, L., Miao, M., Al-Rasheid, K. A. S., & Song, W. (2015). Morphology of three Litonotus species (Ciliophora: Pleurostomatida) from China seas, with brief notes on their SSU rDNA-based phylogeny. European Journal of Protistology, 51(5), 494–506. doi:10.1016/j.ejop.2015.08.003",,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Litostomatea_X,Litostomatea_XX,Arcuospathidium_1,Arcuospathidium_1,110,210,Naked,Elongated,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,1,1,OK,Heterotroph,"Foissner, W., Agatha, S. and Berger, H.: Soil Ciliates (Protozoa, Ciliophora) from Namibia (Southwest Africa), with emphasis on two contrasting environments, the Etosha Region and the Namib Desert. Part I: text and line drawings, Denisia, 5(October 2015), 1_1063, 2002.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Litostomatea_X,Litostomatea_XX,Litostomatea_XXX,Litostomatea,NA,NA,Naked,NA,0,Asymetrical,NA,NA,NA,0,None,Phagotrophic,NA,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Litostomatea_X,Litostomatea_XX,NA,Litostomatea,NA,NA,Naked,NA,0,Asymetrical,NA,NA,NA,0,None,Phagotrophic,NA,NA,NA,1,OK,Heterotroph,"Lynn, D.: The Ciliated Protozoa. Characterization, Classification, and guide to the Literature, Third Edit., edited by P. Roos and B. van Herk, Springer-Verlag, Dordrecht Heidelberg London New York., 2008.",,,,Yes
Eukaryota,Alveolata,Ciliophora,Litostomatea,Litostomatea_X,Litostomatea_XX,Pseudoholophrya,Pseudoholophrya,37,70,Naked,Round,0,Asymetrical,Heteropolar,None,Swimmer,0,None,Phagotrophic,No,NA,0,1,OK,Heterotroph,http://dx.doi.org/10.3906/zoo-0802-10,,,,Yes
